,title,release_date,popularity,vote_average,vote_count
0,The Shawshank Redemption,9/23/1994,26.9579,8.712,28675
1,The Godfather,3/14/1972,26.5804,8.686,21701
2,The Godfather Part II,12/20/1974,15.6559,8.571,13099
3,Schindler's List,12/15/1993,12.5642,8.565,16616
4,12 Angry Men,4/10/1957,14.6028,8.549,9307
5,Spirited Away,7/20/2001,16.6692,8.5,17354
6,The Dark Knight,7/16/2008,23.0577,8.522,34200
7,Dilwale Dulhania Le Jayenge,10/20/1995,5.5785,8.517,4500
8,The Green Mile,12/10/1999,16.3836,8.503,18272
9,Parasite,5/30/2019,17.7159,8.498,19343
10,The Lord of the Rings: The Return of the King,12/17/2003,18.6836,8.488,25326
11,Pulp Fiction,9/10/1994,17.3613,8.487,28951
12,Your Name.,8/26/2016,11.783,8.5,11908
13,Forrest Gump,6/23/1994,17.4356,8.467,28497
14,"The Good, the Bad and the Ugly",12/22/1966,10.6571,8.465,9108
15,Interstellar,11/5/2014,39.9908,8.458,37616
16,Seven Samurai,4/26/1954,6.7751,8.456,3959
17,GoodFellas,9/12/1990,12.34,8.454,13532
18,Grave of the Fireflies,4/16/1988,0.0095,8.4,5999
19,Life Is Beautiful,12/20/1997,7.5191,8.443,13476
20,Fight Club,10/15/1999,18.1512,8.4,30582
21,Cinema Paradiso,11/17/1988,5.5745,8.4,4578
22,Impossible Things,6/17/2021,0.7889,8.43,410
23,Harakiri,9/15/1962,3.8473,8.429,1108
24,City of God,8/30/2002,7.5212,8.429,7743
25,A Dog's Will,9/15/2000,1.7312,8.426,1176
26,KPop Demon Hunters,6/20/2025,158.0071,8.424,975
27,The Lord of the Rings: The Fellowship of the Ring,12/18/2001,22.5808,8.4,26239
28,Psycho,6/22/1960,8.0954,8.421,10460
29,One Flew Over the Cuckoo's Nest,11/19/1975,7.1077,8.413,10888
30,Gabriel's Inferno,5/29/2020,1.7933,8.4,2427
31,Once Upon a Time in America,5/23/1984,6.5963,8.41,5679
32,The Lord of the Rings: The Two Towers,12/18/2002,16.1983,8.408,22801
33,Spider-Man: Into the Spider-Verse,12/6/2018,16.1113,8.398,16327
34,Hope,10/2/2013,3.6307,8.398,793
35,Howl's Moving Castle,9/9/2004,11.4129,8.397,10442
36,The Empire Strikes Back,5/20/1980,7.2453,8.396,17587
37,Primal: Tales of Savagery,11/21/2019,1.2676,8.386,341
38,A Silent Voice: The Movie,9/17/2016,7.351,8.4,4181
39,The Pianist,9/17/2002,9.8492,8.38,9622
40,Gabriel's Inferno: Part II,7/31/2020,1.0821,8.379,1527
41,Whiplash,10/10/2014,13.0647,8.377,15818
42,Se7en,9/22/1995,19.0441,8.375,21953
43,Gabriel's Inferno: Part III,11/19/2020,2.7255,8.4,1063
44,Lucy Shimmers and the Prince of Peace,10/19/2020,4.1656,8.372,317
45,Inception,7/15/2010,27.4505,8.369,37773
46,Radical,10/19/2023,2.7321,8.363,470
47,High and Low,3/1/1963,4.4645,8.349,1010
48,Rear Window,8/1/1954,6.3895,8.3,6790
49,The Silence of the Lambs,2/14/1991,3.0154,8.347,17001
50,Spider-Man: Across the Spider-Verse,5/31/2023,21.4424,8.3,7774
51,The Legend of Hei,8/27/2019,2.8597,8.3,398
52,American History X,7/1/1998,5.692,8.336,11969
53,The Quintessential Quintuplets Movie,5/20/2022,2.6314,8.331,416
54,Princess Mononoke,7/12/1997,7.6455,8.3,8465
55,Dou kyu sei – Classmates,2/20/2016,2.0197,8.324,410
56,A Brighter Summer Day,7/27/1991,2.3987,8.311,347
57,Back to the Future,7/3/1985,14.5355,8.322,20762
58,The Wild Robot,9/12/2024,24.568,8.319,5240
59,Counterattack,2/27/2025,13.9538,8.311,726
60,"Josee, the Tiger and the Fish",12/25/2020,2.3244,8.309,523
61,Ikiru,10/9/1952,4.2442,8.3,1224
62,Perfect Blue,2/28/1998,6.3941,8.303,2876
63,Léon: The Professional,9/14/1994,10.4547,8.3,15363
64,Dead Poets Society,6/2/1989,13.4628,8.3,11803
65,Violet Evergarden: The Movie,9/18/2020,2.487,8.3,456
66,Sunset Boulevard,8/10/1950,5.0251,8.3,2726
67,The Great Dictator,10/15/1940,3.0295,8.292,3505
68,Dedicated to my ex,11/1/2019,1.4206,8.286,512
69,We All Loved Each Other So Much,12/21/1974,1.1125,8.284,608
70,Once Upon a Time in the West,12/21/1968,7.0073,8.283,4592
71,Hotarubi no Mori e,9/17/2011,0.0034,8.3,1157
72,Given,8/22/2020,1.4404,8.3,405
73,Modern Times,2/5/1936,2.5141,8.28,3866
74,Once Upon a Studio,9/24/2023,2.8205,8.275,400
75,Neon Genesis Evangelion: The End of Evangelion,7/19/1997,4.9385,8.274,1708
76,The Intouchables,11/2/2011,11.5656,8.272,17763
77,It's a Wonderful Life,12/20/1946,7.1387,8.27,4562
78,Apocalypse Now,5/19/1979,7.7281,8.271,8580
79,City Lights,2/6/1931,2.8663,8.265,2304
80,Paths of Glory,10/25/1957,3.509,8.3,3070
81,The Lion King,6/15/1994,16.95,8.257,18925
82,Miracle in Cell No. 7,10/10/2019,4.3198,8.3,4479
83,Le Trou,3/18/1960,2.5255,8.255,514
84,Rascal Does Not Dream of a Dreaming Girl,6/15/2019,2.1773,8.252,547
85,Oldboy,11/21/2003,11.2556,8.252,9138
86,The Legend of 1900,10/28/1998,3.093,8.2,2334
87,Taylor Swift: Reputation Stadium Tour,12/31/2018,0.8377,8.2,408
88,I Want to Eat Your Pancreas,9/1/2018,3.8987,8.2,1648
89,Clouds,10/9/2020,2.0535,8.242,1029
90,Life in a Year,11/27/2020,5.1547,8.242,1924
91,Avengers: Endgame,4/24/2019,17.2491,8.239,26591
92,Klaus,11/8/2019,3.989,8.236,4328
93,Avengers: Infinity War,4/25/2018,29.7111,8.236,30808
94,Evangelion: 3.0+1.0 Thrice Upon a Time,3/8/2021,3.9629,8.2,860
